LastName,FirstName,Date,Start,Pos,Min,SoTA,GA,Saves,PSxG,PKatt,PKA,PKm,PassAtt,Throws,AvgLen,GKAtt,GKAvgLen,C
Ospina,David,2018-05-13,1,GK,90.0,3.0,0.0,3.0,0.4,0.0,0.0,0.0,39.0,8.0,31.9,9.0,48.2,0
Cech,Petr,2018-05-09,1,GK,90.0,10.0,3.0,7.0,3.2,1.0,1.0,0.0,26.0,7.0,34.5,11.0,66.0,1
Cech,Petr,2018-05-06,1,GK,90.0,2.0,0.0,2.0,0.2,0.0,0.0,0.0,31.0,8.0,32.4,2.0,56.0,1
Ospina,David,2018-04-29,1,GK,90.0,2.0,2.0,0.0,1.3,0.0,0.0,0.0,15.0,4.0,41.1,5.0,49.0,0
Ospina,David,2018-04-22,1,GK,90.0,4.0,1.0,3.0,0.6,0.0,0.0,0.0,24.0,6.0,20.8,4.0,44.3,0
Cech,Petr,2018-04-15,1,GK,90.0,4.0,2.0,2.0,0.6,0.0,0.0,0.0,28.0,6.0,26.3,6.0,34.0,1
Cech,Petr,2018-04-08,1,GK,90.0,7.0,2.0,5.0,2.6,0.0,0.0,0.0,17.0,9.0,33.5,6.0,52.8,1
Ospina,David,2018-04-01,1,GK,90.0,2.0,0.0,2.0,0.1,0.0,0.0,0.0,30.0,6.0,26.3,7.0,48.0,0
Cech,Petr,2018-03-11,1,GK,90.0,4.0,0.0,3.0,1.8,1.0,0.0,0.0,17.0,7.0,32.9,11.0,45.1,1
Cech,Petr,2018-03-04,1,GK,90.0,6.0,2.0,4.0,0.9,0.0,0.0,0.0,31.0,7.0,35.8,7.0,43.9,0
Cech,Petr,2018-03-01,1,GK,90.0,5.0,3.0,2.0,3.1,0.0,0.0,0.0,37.0,5.0,34.4,2.0,75.0,0
Cech,Petr,2018-02-10,1,GK,90.0,6.0,1.0,5.0,1.8,0.0,0.0,0.0,38.0,12.0,37.2,13.0,43.8,0
Cech,Petr,2018-02-03,1,GK,69.0,1.0,1.0,,0.3,,,,13.0,2.0,45.7,6.0,53.8,0
Ospina,David,2018-02-03,0,GK,21.0,1.0,0.0,1.0,0.1,0.0,0.0,0.0,8.0,3.0,31.1,3.0,46.3,0
Cech,Petr,2018-01-30,1,GK,90.0,4.0,3.0,1.0,2.8,0.0,0.0,0.0,19.0,7.0,27.4,5.0,37.8,0
Cech,Petr,2018-01-20,1,GK,90.0,5.0,1.0,4.0,1.1,0.0,0.0,0.0,27.0,8.0,28.4,5.0,47.8,0
Cech,Petr,2018-01-14,1,GK,90.0,5.0,2.0,3.0,0.3,0.0,0.0,0.0,28.0,6.0,43.8,7.0,59.0,1
Cech,Petr,2018-01-03,1,GK,90.0,6.0,2.0,4.0,2.0,1.0,1.0,0.0,20.0,7.0,27.0,10.0,34.7,1
Cech,Petr,2017-12-31,1,GK,90.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,25.0,8.0,32.8,7.0,35.4,0
Cech,Petr,2017-12-28,1,GK,90.0,2.0,2.0,0.0,0.6,0.0,0.0,0.0,16.0,4.0,33.2,13.0,44.4,0
Cech,Petr,2017-12-22,1,GK,90.0,9.0,3.0,6.0,2.9,0.0,0.0,0.0,32.0,12.0,37.3,9.0,57.8,0
Cech,Petr,2017-12-16,1,GK,90.0,2.0,0.0,2.0,0.4,0.0,0.0,0.0,24.0,8.0,35.2,8.0,37.3,0
Cech,Petr,2017-12-13,1,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,38.0,6.0,63.0,0
Cech,Petr,2017-12-10,1,GK,90.0,3.0,1.0,2.0,1.2,0.0,0.0,0.0,29.0,11.0,30.9,4.0,61.5,0
Cech,Petr,2017-12-02,1,GK,90.0,4.0,3.0,1.0,2.2,0.0,0.0,0.0,20.0,7.0,24.8,3.0,36.0,0
Cech,Petr,2017-11-29,1,GK,90.0,3.0,0.0,2.0,0.6,0.0,0.0,0.0,30.0,5.0,26.9,3.0,19.7,0
Cech,Petr,2017-11-26,1,GK,90.0,2.0,0.0,2.0,0.5,0.0,0.0,0.0,21.0,5.0,35.4,4.0,39.5,0
Cech,Petr,2017-11-18,1,GK,90.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,23.0,3.0,47.1,7.0,64.3,0
Cech,Petr,2017-11-05,1,GK,90.0,5.0,3.0,2.0,2.5,1.0,1.0,0.0,20.0,4.0,36.7,7.0,51.4,0
Cech,Petr,2017-10-28,1,GK,90.0,2.0,1.0,1.0,0.8,0.0,0.0,0.0,20.0,8.0,35.6,2.0,24.5,0
Cech,Petr,2017-10-22,1,GK,90.0,3.0,2.0,1.0,0.8,0.0,0.0,0.0,23.0,4.0,36.1,6.0,43.3,0
Cech,Petr,2017-10-14,1,GK,90.0,2.0,2.0,0.0,1.7,1.0,1.0,0.0,25.0,6.0,43.5,8.0,51.9,0
Cech,Petr,2017-10-01,1,GK,90.0,1.0,0.0,1.0,0.1,0.0,0.0,0.0,19.0,6.0,27.7,6.0,66.0,1
Cech,Petr,2017-09-25,1,GK,90.0,2.0,0.0,2.0,0.3,0.0,0.0,0.0,22.0,8.0,29.5,6.0,50.0,0
Cech,Petr,2017-09-17,1,GK,90.0,4.0,0.0,4.0,0.5,0.0,0.0,0.0,28.0,7.0,42.6,9.0,35.7,0
Cech,Petr,2017-09-09,1,GK,90.0,2.0,0.0,2.0,0.6,0.0,0.0,0.0,29.0,2.0,43.7,5.0,60.2,0
Cech,Petr,2017-08-27,1,GK,90.0,10.0,4.0,6.0,4.4,0.0,0.0,0.0,20.0,9.0,29.7,8.0,52.0,0
