LastName,FirstName,Date,Start,Pos,Min,G,A,PK,PKA,S,SoT,YK,RK,Touches,Tackles,Ints,Blocks,xG,npxG,xAG,Passes,PassesA,PrgPas,Carries,PrgCar,Line,C
Aubameyang,Pierre-Emerick,2018-05-13,1,LW,66.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,0.0,0.0,2.0,0.8,0.8,0.0,18.0,31.0,0.0,24.0,0.0,Forward,0
Bellerin,Hector,2018-05-13,1,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,1.0,2.0,0.0,0.0,0.0,42.0,47.0,3.0,25.0,2.0,Defender,0
Holding,Rob,2018-05-13,1,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,2.0,1.0,4.0,0.0,0.0,0.0,54.0,63.0,8.0,42.0,0.0,Defender,0
Iwobi,Alex,2018-05-13,1,RM,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,52.0,4.0,43.0,0.0,Midfielder,0
Kolasinac,Sead,2018-05-13,1,LB,67.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,1.0,1.0,0.0,0.3,0.3,0.0,35.0,43.0,1.0,26.0,1.0,Defender,0
Lacazette,Alexandre,2018-05-13,1,FW,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,0.0,1.0,0.0,0.2,0.2,0.0,31.0,36.0,4.0,31.0,2.0,Forward,0
Mkhitaryan,Henrikh,2018-05-13,1,RW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,60.0,0.0,0.0,2.0,0.1,0.1,0.2,33.0,49.0,5.0,48.0,1.0,Forward,0
Mustafi,Shkodran,2018-05-13,1,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,3.0,0.0,0.0,0.0,0.3,43.0,48.0,3.0,40.0,0.0,Defender,0
Ramsey,Aaron,2018-05-13,1,LM,90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,62.0,3.0,0.0,0.0,0.0,0.0,0.8,34.0,50.0,2.0,47.0,1.0,Midfielder,1
Xhaka,Granit,2018-05-13,1,CM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,2.0,0.0,2.0,0.0,0.0,0.0,54.0,57.0,8.0,39.0,0.0,Midfielder,0
Maitland-Niles,Ainsley,2018-05-13,0,RM,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,12.0,2.0,9.0,0.0,Midfielder,0
Monreal,Nacho,2018-05-13,0,LB,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,2.0,11.0,0.0,Defender,0
Welbeck,Danny,2018-05-13,0,LW,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.5,0.5,0.0,4.0,8.0,0.0,7.0,3.0,Forward,0
Aubameyang,Pierre-Emerick,2018-05-09,1,FW,90.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,33.0,0.0,0.0,1.0,1.0,1.0,0.0,15.0,21.0,0.0,13.0,3.0,Forward,0
Holding,Rob,2018-05-09,1,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,3.0,2.0,2.0,0.0,0.0,0.0,40.0,50.0,3.0,36.0,1.0,Defender,0
Iwobi,Alex,2018-05-09,1,RM,83.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,61.0,0.0,1.0,1.0,0.1,0.1,0.1,43.0,53.0,3.0,49.0,6.0,Midfielder,0
Kolasinac,Sead,2018-05-09,1,LB,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,61.0,5.0,1.0,0.0,0.2,0.2,0.0,45.0,51.0,6.0,30.0,2.0,Defender,0
Maitland-Niles,Ainsley,2018-05-09,1,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,3.0,1.0,2.0,0.0,0.0,0.5,41.0,54.0,3.0,32.0,2.0,Defender,0
Mkhitaryan,Henrikh,2018-05-09,1,RM,90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,75.0,2.0,2.0,3.0,0.2,0.2,0.1,43.0,62.0,6.0,56.0,6.0,Midfielder,0
Ramsey,Aaron,2018-05-09,1,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,2.0,0.0,0.0,0.0,0.1,49.0,61.0,5.0,56.0,3.0,Midfielder,0
Welbeck,Danny,2018-05-09,1,LW,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,1.0,10.0,0.0,Forward,0
Xhaka,Granit,2018-05-09,1,CM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,84.0,2.0,0.0,0.0,0.0,0.0,0.1,67.0,77.0,8.0,55.0,3.0,Midfielder,0
Mustafi,Shkodran,2018-05-09,0,CB,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,2.0,0.0,0.0,0.0,0.0,24.0,33.0,0.0,22.0,2.0,Defender,0
Aubameyang,Pierre-Emerick,2018-05-06,1,LW,90.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,56.0,0.0,1.0,3.0,1.4,1.4,0.2,31.0,46.0,2.0,37.0,8.0,Forward,0
Bellerin,Hector,2018-05-06,1,RB,90.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,77.0,2.0,0.0,0.0,0.0,0.0,0.9,62.0,68.0,7.0,46.0,3.0,Defender,0
Chambers,Calum,2018-05-06,1,CB,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,2.0,3.0,0.0,0.0,0.0,0.0,51.0,54.0,3.0,48.0,1.0,Defender,0
Iwobi,Alex,2018-05-06,1,RM,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,100.0,1.0,2.0,1.0,0.1,0.1,0.1,84.0,91.0,11.0,75.0,6.0,Midfielder,0
Kolasinac,Sead,2018-05-06,1,LB,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,77.0,0.0,1.0,3.0,0.1,0.1,0.0,58.0,68.0,1.0,46.0,2.0,Defender,0
Lacazette,Alexandre,2018-05-06,1,FW,71.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,32.0,1.0,1.0,0.0,0.5,0.5,1.2,20.0,25.0,4.0,25.0,4.0,Forward,0
Mkhitaryan,Henrikh,2018-05-06,1,RW,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,81.0,2.0,0.0,1.0,0.1,0.1,0.1,59.0,70.0,9.0,53.0,8.0,Forward,0
Wilshere,Jack,2018-05-06,1,LM,71.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.1,0.1,0.1,51.0,56.0,10.0,47.0,4.0,Midfielder,0
